,Income group,Production Diversity Indeces
Israel,High income,3.3680861265963022
China,Upper middle income,3.290966799012499
Spain,High income,3.2513237316489287
Albania,Upper middle income,3.1120957750202716
Grenada,Upper middle income,3.074634877347261
Tunisia,Lower middle income,3.060401188438028
Jordan,Upper middle income,3.058287564145459
Chile,High income,3.0493220856121224
Morocco,Lower middle income,3.0480392370018805
Italy,High income,3.0233110222781243
Lebanon,Upper middle income,3.0187446925455266
Greece,High income,3.008895862521392
Libya,Upper middle income,2.905665405174972
Algeria,Lower middle income,2.900502579128896
Kenya,Lower middle income,2.8685661856739544
North Macedonia,Upper middle income,2.8685063023319666
Cameroon,Lower middle income,2.847816760504005
Cyprus,High income,2.8327070586632965
Azerbaijan,Upper middle income,2.796362770616529
Mali,Low income,2.7890269245234385
Japan,High income,2.7828712504939244
Uzbekistan,Lower middle income,2.7767537634440664
Peru,Upper middle income,2.770108838920114
Portugal,High income,2.7565423349795926
Ethiopia,Low income,2.7492296652710397
Bhutan,Lower middle income,2.7463429514535753
Sudan,Low income,2.743984378853213
Armenia,Upper middle income,2.728932182020996
New Zealand,High income,2.728179874218888
Malta,High income,2.7230744762712487
Tajikistan,Lower middle income,2.7060070370684257
Syrian Arab Republic,Low income,2.689832528705335
Guinea,Low income,2.6647829886564245
Dominica,Upper middle income,2.66419173321291
Georgia,Upper middle income,2.6522650582697085
Trinidad and Tobago,High income,2.6417654416150165
Senegal,Lower middle income,2.6409964983016114
Montenegro,Upper middle income,2.6236585512998256
Burkina Faso,Low income,2.6193902748030395
Brunei Darussalam,High income,2.616468010902038
Chad,Low income,2.612311601080341
Guinea-Bissau,Low income,2.587268805130695
India,Lower middle income,2.5714474627852875
Poland,High income,2.5517915992904125
Rwanda,Low income,2.5434211599003267
Jamaica,Upper middle income,2.5324296837899034
Saudi Arabia,High income,2.527252839516382
Kazakhstan,Upper middle income,2.5214469313091
Niger,Low income,2.5178126199619433
Haiti,Lower middle income,2.474242640543655
Cabo Verde,Lower middle income,2.4705411177342693
Dominican Republic,Upper middle income,2.453426144238221
Malawi,Low income,2.4533875667899867
Mexico,Upper middle income,2.4469122480284176
Nigeria,Lower middle income,2.4238058012930175
Austria,High income,2.4115051558301928
Somalia,Low income,2.3972480589336724
Oman,High income,2.386051856922045
Kuwait,High income,2.375705682910861
Slovenia,High income,2.363616748853418
Central African Republic,Low income,2.3543176670521455
Timor-Leste,Lower middle income,2.3499766958729653
Nepal,Lower middle income,2.3190022507669794
Belarus,Upper middle income,2.313737846140225
Philippines,Lower middle income,2.3042705219896362
Ukraine,Lower middle income,2.2916306078398634
Switzerland,High income,2.2912649348294347
Bosnia and Herzegovina,Upper middle income,2.290703847142278
Russian Federation,Upper middle income,2.282768582636293
Iraq,Upper middle income,2.2364571407725973
Sierra Leone,Low income,2.2335018940472646
Sri Lanka,Lower middle income,2.2328337373855276
Papua New Guinea,Lower middle income,2.2326128010877295
Eritrea,Low income,2.2305559492544638
Mozambique,Low income,2.2186471151397926
Burundi,Low income,2.208601317851711
Canada,High income,2.1946532267934953
Benin,Lower middle income,2.192820903786159
Puerto Rico,High income,2.1881215094527655
Togo,Low income,2.1823652027273823
France,High income,2.1740358443355525
Serbia,Upper middle income,2.169036541789958
Liberia,Low income,2.167584437815703
Uruguay,High income,2.16655906810491
Croatia,High income,2.1615131788585584
South Africa,Upper middle income,2.1595932085380474
Madagascar,Low income,2.1546831791755237
Hungary,High income,2.1482205115552278
Bahrain,High income,2.1467769066621236
Turkmenistan,Upper middle income,2.1400404307158447
Afghanistan,Low income,2.1339088723373862
South Sudan,Low income,2.1275353888199637
New Caledonia,High income,2.090820581602013
Qatar,High income,2.0874228045036487
Colombia,Upper middle income,2.0816286080209525
Belgium,High income,2.0687602957672615
Romania,Upper middle income,2.0611903056351166
Botswana,Upper middle income,2.054650490271905
Germany,High income,2.0523053235189277
Gabon,Upper middle income,2.0420149766879168
Argentina,Upper middle income,2.0256030915072403
Myanmar,Lower middle income,2.022625327765308
Uganda,Low income,2.0141656525483587
Ghana,Lower middle income,1.9960841731941603
United Arab Emirates,High income,1.9850646656061106
Pakistan,Lower middle income,1.9800036877459801
Comoros,Lower middle income,1.9767326722418097
Finland,High income,1.971332959356078
Norway,High income,1.9656832540066578
Sweden,High income,1.9567275412610678
Maldives,Upper middle income,1.9564108660091681
Australia,High income,1.9413664694643495
Luxembourg,High income,1.9289735514621786
Paraguay,Upper middle income,1.9161566275254032
Angola,Lower middle income,1.8998053734703224
Ecuador,Upper middle income,1.880011342267436
Costa Rica,Upper middle income,1.872630755770238
Lithuania,High income,1.8699954372735181
Guyana,Upper middle income,1.8682557067871048
Denmark,High income,1.852097373632032
Equatorial Guinea,Upper middle income,1.8440481090333727
Honduras,Lower middle income,1.843529008944147
Sao Tome and Principe,Lower middle income,1.8275136638512597
Tonga,Upper middle income,1.811202390952512
Bangladesh,Lower middle income,1.7470208403089171
Bulgaria,Upper middle income,1.7404182106492707
Estonia,High income,1.7376531811242357
Indonesia,Lower middle income,1.7289347142105491
Samoa,Lower middle income,1.7110743839060054
Zimbabwe,Lower middle income,1.7028442783281226
Mauritania,Lower middle income,1.6631001070851175
Seychelles,High income,1.6443133277404032
Solomon Islands,Lower middle income,1.6318263834937095
Zambia,Lower middle income,1.6218750201127508
Namibia,Upper middle income,1.6148316376666347
Suriname,Upper middle income,1.608430254168471
Thailand,Upper middle income,1.591121653822967
Antigua and Barbuda,High income,1.5784153665059955
Ireland,High income,1.5607299457851402
Latvia,High income,1.5218576255073657
Cambodia,Lower middle income,1.5147105608553368
Panama,Upper middle income,1.5108527276316657
Mongolia,Lower middle income,1.4658209345967697
Nicaragua,Lower middle income,1.428963104529494
Cuba,Upper middle income,1.4282862482936183
Iceland,High income,1.4247443797625263
Guatemala,Upper middle income,1.417616119813349
French Polynesia,High income,1.3643549423336896
Brazil,Upper middle income,1.263171439905101
Lesotho,Lower middle income,1.250085025152221
Tuvalu,Upper middle income,1.1822759225179342
Djibouti,Lower middle income,1.1763278898409877
Barbados,High income,1.1403084215240413
El Salvador,Lower middle income,0.901916695394377
Vanuatu,Lower middle income,0.7863971670303683
Belize,Lower middle income,0.741685705016147
Fiji,Upper middle income,0.6884155747962895
Singapore,High income,0.5753039098344941
Nauru,High income,0.47231697443791215
Kiribati,Lower middle income,0.4127356883702939
Malaysia,Upper middle income,0.37550561669884575
Eswatini,Lower middle income,0.3439885644241498
Mauritius,Upper middle income,0.2216347036462007
Marshall Islands,Upper middle income,0.0
