,0
"Zinc, Zn","Zinc, Zn"
Water,Water
Vitamin K (phylloquinone),Vitamin K (phylloquinone)
"Vitamin E, added","Vitamin E, added"
Vitamin E (alpha-tocopherol),Vitamin E (alpha-tocopherol)
Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol)
Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol)
Vitamin D (D2 + D3),Vitamin D (D2 + D3)
Vitamin D,Vitamin D
"Vitamin C, total ascorbic acid","Vitamin C, total ascorbic acid"
Vitamin B-6,Vitamin B-6
"Vitamin B-12, added","Vitamin B-12, added"
Vitamin B-12,Vitamin B-12
"Vitamin A, RAE","Vitamin A, RAE"
"Vitamin A, IU","Vitamin A, IU"
Valine,Valine
Tyrosine,Tyrosine
Tryptophan,Tryptophan
Total lipid (fat),Total lipid (fat)
"Tocotrienol, gamma","Tocotrienol, gamma"
"Tocotrienol, delta","Tocotrienol, delta"
"Tocotrienol, beta","Tocotrienol, beta"
"Tocotrienol, alpha","Tocotrienol, alpha"
"Tocopherol, gamma","Tocopherol, gamma"
"Tocopherol, delta","Tocopherol, delta"
"Tocopherol, beta","Tocopherol, beta"
Threonine,Threonine
Thiamin,Thiamin
Theobromine,Theobromine
"Sugars, total","Sugars, total"
Sucrose,Sucrose
Stigmasterol,Stigmasterol
Starch,Starch
"Sodium, Na","Sodium, Na"
Serine,Serine
"Selenium, Se","Selenium, Se"
Riboflavin,Riboflavin
Retinol,Retinol
Protein,Protein
Proline,Proline
"Potassium, K","Potassium, K"
Phytosterols,Phytosterols
"Phosphorus, P","Phosphorus, P"
Phenylalanine,Phenylalanine
Pantothenic acid,Pantothenic acid
Niacin,Niacin
Methionine,Methionine
Menaquinone-4,Menaquinone-4
"Manganese, Mn","Manganese, Mn"
Maltose,Maltose
"Magnesium, Mg","Magnesium, Mg"
Lysine,Lysine
Lycopene,Lycopene
Lutein + zeaxanthin,Lutein + zeaxanthin
Leucine,Leucine
Lactose,Lactose
Isoleucine,Isoleucine
"Iron, Fe","Iron, Fe"
Hydroxyproline,Hydroxyproline
Histidine,Histidine
Glycine,Glycine
Glutamic acid,Glutamic acid
Glucose (dextrose),Glucose (dextrose)
Galactose,Galactose
Fructose,Fructose
Folic acid,Folic acid
"Folate, total","Folate, total"
"Folate, food","Folate, food"
"Folate, DFE","Folate, DFE"
"Fluoride, F","Fluoride, F"
"Fiber, total dietary","Fiber, total dietary"
"Fatty acids, total trans-polyenoic","Fatty acids, total trans-polyenoic"
"Fatty acids, total trans-monoenoic","Fatty acids, total trans-monoenoic"
"Fatty acids, total trans","Fatty acids, total trans"
"Fatty acids, total saturated","Fatty acids, total saturated"
"Fatty acids, total polyunsaturated","Fatty acids, total polyunsaturated"
"Fatty acids, total monounsaturated","Fatty acids, total monounsaturated"
Energy,Energy
Dihydrophylloquinone,Dihydrophylloquinone
Cystine,Cystine
"Cryptoxanthin, beta","Cryptoxanthin, beta"
"Copper, Cu","Copper, Cu"
"Choline, total","Choline, total"
Cholesterol,Cholesterol
"Carotene, beta","Carotene, beta"
"Carotene, alpha","Carotene, alpha"
"Carbohydrate, by difference","Carbohydrate, by difference"
Campesterol,Campesterol
"Calcium, Ca","Calcium, Ca"
Caffeine,Caffeine
Betaine,Betaine
Beta-sitosterol,Beta-sitosterol
Aspartic acid,Aspartic acid
Ash,Ash
Arginine,Arginine
"Alcohol, ethyl","Alcohol, ethyl"
Alanine,Alanine
Adjusted Protein,Adjusted Protein
8:0,8:0
6:0,6:0
4:0,4:0
24:1 c,24:1 c
24:0,24:0
22:6 n-3 (DHA),22:6 n-3 (DHA)
22:5 n-3 (DPA),22:5 n-3 (DPA)
22:4,22:4
22:1 undifferentiated,22:1 undifferentiated
22:1 t,22:1 t
22:1 c,22:1 c
22:0,22:0
21:5,21:5
20:5 n-3 (EPA),20:5 n-3 (EPA)
20:4 undifferentiated,20:4 undifferentiated
20:4 n-6,20:4 n-6
20:3 undifferentiated,20:3 undifferentiated
20:3 n-6,20:3 n-6
20:3 n-3,20:3 n-3
"20:2 n-6 c,c","20:2 n-6 c,c"
20:1,20:1
20:0,20:0
18:4,18:4
18:3i,18:3i
18:3 undifferentiated,18:3 undifferentiated
"18:3 n-6 c,c,c","18:3 n-6 c,c,c"
"18:3 n-3 c,c,c (ALA)","18:3 n-3 c,c,c (ALA)"
18:2 undifferentiated,18:2 undifferentiated
"18:2 t,t","18:2 t,t"
18:2 t not further defined,18:2 t not further defined
"18:2 n-6 c,c","18:2 n-6 c,c"
18:2 i,18:2 i
18:2 CLAs,18:2 CLAs
18:1-11 t (18:1t n-7),18:1-11 t (18:1t n-7)
18:1 undifferentiated,18:1 undifferentiated
18:1 t,18:1 t
18:1 c,18:1 c
18:0,18:0
17:1,17:1
17:0,17:0
16:1 undifferentiated,16:1 undifferentiated
16:1 t,16:1 t
16:1 c,16:1 c
16:0,16:0
15:1,15:1
15:0,15:0
14:1,14:1
14:0,14:0
13:0,13:0
12:0,12:0
10:0,10:0
