,mfad_values
Dairy and Egg Products - Spices and Herbs,6.540965336111191
Dairy and Egg Products - Baby Foods,2.671401163812965
Dairy and Egg Products - Poultry Products,2.353811150806899
Dairy and Egg Products - Breakfast Cereals,18.37305584758822
Dairy and Egg Products - Fruits and Fruit Juices,3.349199822344285
Dairy and Egg Products - Pork Products,2.932316375040393
Dairy and Egg Products - Vegetables and Vegetable Products,3.4375233332088264
Dairy and Egg Products - Beef Products,9.084802658236796
Dairy and Egg Products - Beverages,3.8477767721527316
Dairy and Egg Products - Finfish and Shellfish Products,2.7567719302649247
Dairy and Egg Products - Legumes and Legume Products,3.2807587684417387
"Dairy and Egg Products - Seeds, Nuts, and Oils",22.699955494606574
Spices and Herbs - Baby Foods,7.844687280586865
Spices and Herbs - Poultry Products,6.79822575071598
Spices and Herbs - Breakfast Cereals,17.09602148470224
Spices and Herbs - Fruits and Fruit Juices,8.071888061277205
Spices and Herbs - Pork Products,6.420847482908863
Spices and Herbs - Vegetables and Vegetable Products,7.313773278644595
Spices and Herbs - Beef Products,9.284605018615272
Spices and Herbs - Beverages,8.979215394357201
Spices and Herbs - Finfish and Shellfish Products,6.461699797556188
Spices and Herbs - Legumes and Legume Products,6.466232366359393
"Spices and Herbs - Seeds, Nuts, and Oils",21.12464124099272
Baby Foods - Poultry Products,2.6424718493584836
Baby Foods - Breakfast Cereals,20.696375844912016
Baby Foods - Fruits and Fruit Juices,1.1041938603400028
Baby Foods - Pork Products,3.189492951215638
Baby Foods - Vegetables and Vegetable Products,1.9036414935220194
Baby Foods - Beef Products,10.80497582074122
Baby Foods - Beverages,1.6279583806549334
Baby Foods - Finfish and Shellfish Products,2.618839099252047
Baby Foods - Legumes and Legume Products,2.712457205015183
"Baby Foods - Seeds, Nuts, and Oils",24.72941463867184
Poultry Products - Breakfast Cereals,19.751207470374275
Poultry Products - Fruits and Fruit Juices,2.6722409769840305
Poultry Products - Pork Products,0.8648061325828118
Poultry Products - Vegetables and Vegetable Products,3.4439944933806177
Poultry Products - Beef Products,8.75776574697897
Poultry Products - Beverages,3.138835231904776
Poultry Products - Finfish and Shellfish Products,1.4582182735943339
Poultry Products - Legumes and Legume Products,1.9291354368861264
"Poultry Products - Seeds, Nuts, and Oils",22.615699972698692
Breakfast Cereals - Fruits and Fruit Juices,21.33717104510864
Breakfast Cereals - Pork Products,19.860315613951176
Breakfast Cereals - Vegetables and Vegetable Products,20.623726082608357
Breakfast Cereals - Beef Products,15.670519637806375
Breakfast Cereals - Beverages,21.88655141092895
Breakfast Cereals - Finfish and Shellfish Products,19.99742806669341
Breakfast Cereals - Legumes and Legume Products,20.368506336329688
"Breakfast Cereals - Seeds, Nuts, and Oils",19.436980450124263
Fruits and Fruit Juices - Pork Products,3.1150671536069674
Fruits and Fruit Juices - Vegetables and Vegetable Products,2.095673780048609
Fruits and Fruit Juices - Beef Products,10.938210403146346
Fruits and Fruit Juices - Beverages,1.1619056661427163
Fruits and Fruit Juices - Finfish and Shellfish Products,2.6880538822496294
Fruits and Fruit Juices - Legumes and Legume Products,2.4899418003128293
"Fruits and Fruit Juices - Seeds, Nuts, and Oils",24.80854276147289
Pork Products - Vegetables and Vegetable Products,3.7494583170158853
Pork Products - Beef Products,8.529073561696496
Pork Products - Beverages,3.621374650081993
Pork Products - Finfish and Shellfish Products,1.3111991248446855
Pork Products - Legumes and Legume Products,1.8266401018006362
"Pork Products - Seeds, Nuts, and Oils",22.457582484537266
Vegetables and Vegetable Products - Beef Products,11.042815491776931
Vegetables and Vegetable Products - Beverages,2.88446776474326
Vegetables and Vegetable Products - Finfish and Shellfish Products,3.014801238460147
Vegetables and Vegetable Products - Legumes and Legume Products,3.095459165406392
"Vegetables and Vegetable Products - Seeds, Nuts, and Oils",25.220450413197373
Beef Products - Beverages,11.254400185073708
Beef Products - Finfish and Shellfish Products,9.184199061308563
Beef Products - Legumes and Legume Products,9.576386820892584
"Beef Products - Seeds, Nuts, and Oils",18.50215773844501
Beverages - Finfish and Shellfish Products,3.304091538398283
Beverages - Legumes and Legume Products,3.144458966669088
"Beverages - Seeds, Nuts, and Oils",25.151904256948608
Finfish and Shellfish Products - Legumes and Legume Products,1.6518906756806586
"Finfish and Shellfish Products - Seeds, Nuts, and Oils",23.381274881682803
"Legumes and Legume Products - Seeds, Nuts, and Oils",23.452439050837228
Total,745.6870202684285
